,country_code ,Attack Helicopters,Fighters/Interceptors,Helicopters,Special-Mission,Trainers,Transports,Dedicated Attack,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,gdp,Country ,GDP,Shared Borders,Waterways,Square Land Area,Armored Vehicles,Rocket Projectors,Self-Propelled Artillery,Tanks,Towed Artillery,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Railway Coverage,Roadway Coverage,country,Active Personnel,Paramilitary,Reserve Personnel,Total Population,Total Military Personnel,Oil Consumption,Oil Production,Oil Proven Reserves,Aircraft Carriers,Corvettes,Destroyers,Frigates,Helicopter Carriers,Mine Warfare,Patrol Vessels,Submarines,Navy Ships,Coastline Coverage
0,AFG,0,0,0,0,0,0,0,99050000.0,284000000.0,5000000000.0,36000000000.0,20116137325.82,Afghanistan,20116137326.0,5987,1200,652230,530,13,0,0,60,8478000,0,2,0,34903,Afghanistan,0,60000,0,37466414,60000,35000,0,0,0,0,0,0,0,0,0,0,0,0
1,ALB,0,19,19,0,0,0,0,192400000.0,9311000000.0,400000000.0,38000000000.0,14887629268.29,Albania,14887629268.0,691,41,28748,76,0,0,0,0,1104000,70,4,677,3945,Albania,8000,500,0,3088385,8500,29000,14000,168300000,0,0,0,0,0,0,19,0,19,362
2,ALG,45,552,268,9,87,58,22,9700000000.0,5574000000.0,100000000000.0,470000000000.0,145009181490.62,Algeria,145000000000.0,6734,0,2381741,6461,334,545,2196,450,10859000,114,12,3973,104000,Algeria,130000,200000,135000,43576691,465000,405000,1260000,12200000000,0,6,0,5,0,0,25,6,201,998
3,ANG,15,299,117,2,61,30,18,1059270000.0,42080000000.0,16995000000.0,205700000000.0,58375976292.97,Angola,58375976293.0,5369,1300,1246700,1210,118,28,320,585,12510000,54,6,2852,26000,Angola,107000,10000,0,33642646,117000,130000,1600000,9523000000,0,0,0,0,0,2,37,0,40,1600
4,ARG,0,218,85,10,70,22,6,3064800000.0,278524000000.0,45000000000.0,900000000000.0,389288056265.33,Argentina,389000000000.0,11968,11000,2780400,800,26,75,349,172,18000000,202,10,36917,281290,Argentina,83000,20000,0,45864941,103000,806000,490000,2162000000,0,9,4,0,0,0,13,2,47,4989
5,ARM,20,64,36,0,10,2,10,632500000.0,11637000000.0,2200000000.0,40000000000.0,12641209802.11,Armenia,12641209802.0,1570,0,29743,673,94,38,288,145,1507000,0,0,780,7700,Armenia,45000,4300,210000,3011609,259300,8000,0,0,0,0,0,0,0,0,0,0,0,0
6,AUS,22,430,133,31,113,38,37,44618000000.0,3115910000000.0,60000000000.0,1250900000000.0,1327836171068.51,Australia,1330000000000.0,0,2000,7741220,1765,0,0,59,54,12568000,581,29,33343,873573,Australia,59000,0,20000,25809973,79000,1175000,285000,1821000000,0,0,3,8,2,4,12,6,43,25760
7,AST,0,102,63,0,13,11,0,3432000000.0,688434000000.0,22000000000.0,465100000000.0,433258467676.52,Austria,433000000000.0,2524,0,83871,542,0,62,56,0,3739000,0,4,5800,137039,Austria,23000,0,160000,8884864,183000,268000,13000,41200000,0,0,0,0,0,0,0,0,0,0
8,AZR,17,149,87,0,32,2,11,1700000000.0,17410000000.0,6700000000.0,140000000000.0,42607176470.59,Azerbaijan,42607176471.0,2468,0,86600,1762,291,167,510,319,4939000,305,1,2944,24981,Azerbaijan,65000,15000,300000,10282283,380000,100000,800000,7000000000,0,0,0,1,0,7,13,4,24,713
9,BAH,22,110,51,0,37,3,0,1538800000.0,52150000000.0,2349000000.0,70000000000.0,34729228723.4,Bahrain,34729228723.0,0,0,760,833,17,38,180,26,831600,205,2,0,4122,Bahrain,10000,3000,0,1526929,13000,61000,40000,124600000,0,2,0,1,0,0,44,0,48,161
10,BNG,0,190,66,2,63,13,0,3890400000.0,50260000000.0,33420000000.0,800000000000.0,323056957972.31,Bangladesh,323000000000.0,4413,8370,143998,837,69,27,320,371,66640000,468,3,2460,369105,Bangladesh,165000,6800000,0,164098818,6965000,106000,3000,28000000,0,6,0,7,0,5,30,2,112,580
11,BLR,21,201,62,0,30,4,67,723120000.0,39847000000.0,7315000000.0,180000000000.0,60258239055.58,Belarus,60258239056.0,3599,2500,207600,1510,238,482,601,228,4381000,4,1,5528,86600,Belarus,45000,110000,290000,9441842,445000,141000,30000,198000000,0,0,0,0,0,0,0,0,0,0
12,BEL,0,115,20,0,43,8,0,5513710000.0,1317510000000.0,26160000000.0,560000000000.0,521861292586.62,Belgium,522000000000.0,1297,2043,30528,854,0,0,0,0,4122000,201,8,3592,118414,Belgium,26000,0,7000,11778842,33000,648600,0,0,0,0,0,2,0,5,2,0,17,67
13,BUT,0,2,2,0,0,0,0,28908000.0,2671000000.0,1206000000.0,8420000000.0,2315437338.09,Bhutan,2315437338.0,1136,0,38394,27,0,0,0,0,397900,0,0,0,12205,Bhutan,8000,0,0,857423,8000,3000,0,0,0,0,0,0,0,0,0,0,0,0
14,BOL,0,63,28,0,21,14,0,476970000.0,12810000000.0,10260000000.0,95000000000.0,36572764862.82,Bolivia,36572764863.0,7252,10000,1098581,152,0,0,36,40,5719000,45,5,3690,90568,Bolivia,50000,0,0,11758869,50000,83000,60000,211500000,0,0,0,0,0,0,49,0,170,0
15,BOS,0,19,19,0,0,0,0,178110000.0,10870000000.0,6474000000.0,48000000000.0,19946496562.97,Bosnia and Herzegovina,19946496563.0,1543,0,51197,332,143,57,320,679,806000,0,5,965,22926,Bosnia and Herzegovina,9000,0,0,3824782,9000,32000,0,0,0,0,0,0,0,0,0,0,0,20
16,BOT,0,46,16,                                         ,9,10,0,473400000.0,2187000000.0,7491000000.0,38000000000.0,15061922801.63,Botswana,15061922802.0,4347,0,581730,223,20,12,45,40,1177000,0,0,888,31747,Botswana,9000,0,0,2350667,9000,21000,0,0,0,0,0,0,0,0,0,0,0,tt
17,BRA,12,679,179,41,210,125,77,18785000000.0,681336000000.0,374000000000.0,3300000000000.0,1444733258971.65,Brazil,1440000000000.0,16145,50000,8514877,1958,78,136,439,546,86621000,864,17,29850,2000000,Brazil,360000,400000,1340000,213445417,2100000,2956000,2600000,12630000000,0,2,0,6,1,5,22,7,112,7491
18,BUL,2,66,22,0,20,7,6,1105760000.0,39059000000.0,28380000000.0,155060000000.0,69889347433.43,Bulgaria,69889347433.0,1806,470,110880,594,192,506,410,350,3113000,79,2,5114,19512,Bulgaria,30000,0,3000,6919180,33000,97000,1000,15000000,0,2,0,4,0,12,0,0,29,354
19,BKF,2,18,10,0,4,1,3,434250000.0,3056000000.0,49000000.0,45160000000.0,17933606353.18,Burkina Faso,17933606353.0,3611,0,274200,265,0,0,0,0,8501000,0,0,622,15304,Burkina Faso,12000,250,0,21382659,12250,23000,0,0,0,0,0,0,0,0,0,0,0,0
20,CMB,0,23,19,0,0,4,0,632250000.0,11870000000.0,12200000000.0,70000000000.0,25808561550.95,Cambodia,25808561551.0,2530,3700,181035,449,97,0,539,200,8913000,245,2,642,47263,Cambodia,100000,10000,0,17304363,110000,45000,0,0,0,0,0,0,0,0,20,0,27,443
21,CAM,0,31,17,2,6,6,0,398000000.0,9375000000.0,3235000000.0,94000000000.0,40804449726.02,Cameroon,40804449726.0,5018,0,475440,253,20,0,0,77,9912000,94,3,987,77589,Cameroon,40000,12000,0,28524175,52000,45000,70000,200000000,0,0,0,0,0,0,37,0,60,400
22,CAN,0,380,118,24,133,36,0,23550574382.0,2124890000000.0,86680000000.0,1742790000000.0,1645423407568.36,Canada,1650000000000.0,8893,636,9984670,1534,  ,0,82,163,18136000,679,13,77932,1042300,Canada,70000,5500,19000,37943231,94500,2445000,4265000,170500000000,0,0,0,12,0,0,12,4,61,202080
23,CAR,0,3,1,0,0,2,0,41454000.0,779900000.0,304300000.0,4500000000.0,2380087758.04,Central African Republic,2380087758.0,5920,2800,622984,89,0,0,3,0,2242000,0,2,0,24000,Central African Republic,10000,1000,0,5357984,11000,2800,0,0,0,0,0,0,0,0,0,0,0,0
24,CHD,3,35,16,2,4,7,6,292610000.0,1724000000.0,22900000.0,25000000000.0,10829076801.73,Chad,10829076802.0,6406,0,1284000,691,16,10,90,15,5654000,0,0,0,40000,Chad,30000,5000,0,17414108,35000,2300,135000,1500000000,0,0,0,0,0,0,0,0,0,0
25,CHI,0,290,78,17,113,31,0,5058000000.0,193298000000.0,38980000000.0,445880000000.0,252940023046.01,Chile,253000000000.0,7801,12290,756102,1063,30,48,270,164,7249000,231,11,7282,77801,Chile,80000,50000,40000,18307925,170000,354500,3000,150000000,0,0,0,8,0,0,97,4,133,6435
26,CHN,281,3285,912,114,399,286,371,250240000000.0,2027950000000.0,3236000000000.0,23009800000000.0,14722730697890.1,China,14700000000000.0,22457,110000,9596961,35000,3160,4120,5250,1734,774710000,6662,22,131000,4960600,China,2000000,624000,510000,1397897720,3134000,12470000,3775000,25630000000,2,70,41,49,1,36,152,79,777,14500
27,COL,0,454,211,28,82,77,38,8139000000.0,135644000000.0,47130000000.0,685000000000.0,271437596293.84,Colombia,271000000000.0,6672,24725,1138910,483,0,6,0,110,19309000,122,8,2141,206500,Colombia,295000,185000,35000,50355650,515000,333000,865000,1665000000,0,2,0,4,0,0,285,11,450,3208
28,CRO,0,78,40,0,26,0,0,2100000000.0,48100000000.0,18820000000.0,105000000000.0,57203783203.03,Croatia,57203783203.0,2237,785,56594,650,105,24,72,231,1656000,354,6,2722,26958,Croatia,15000,2000,20000,4208973,37000,73000,14000,71000000,0,0,0,0,0,1,15,0,34,5835
29,CUB,4,80,14,0,26,2,0,2989900000.0,30060000000.0,11350000000.0,135000000000.0,107352000000.0,Cuba,107000000000.0,29,240,110860,1570,20,100,1230,150,4691000,59,8,8367,60000,Cuba,50000,1146000,40000,11032343,1236000,175000,50000,124000000,0,0,0,2,0,5,7,1,19,3735
30,CZC,15,92,44,0,10,10,16,3262900000.0,191871000000.0,148000000000.0,410000000000.0,245339322066.76,Czechia,245000000000.0,2046,664,78867,692,0,86,116,0,5222000,0,3,9408,55744,Czechia,26000,0,0,10702596,26000,213700,2000,15000000,0,0,0,0,0,0,0,0,0,0
31,DRC,8,46,32,0,0,8,4,299220000.0,4605000000.0,457500000.0,95000000000.0,48716960860.07,Democratic Republic of the Congo,48716960860.0,10481,15000,2344858,201,55,16,212,125,20692000,22,11,4007,152373,Democratic Republic of the Congo,100000,10000,0,105044646,110000,21000,17000,180000000,0,0,0,0,0,0,16,0,16,37
32,DEN,0,115,34,3,37,4,4,3993096624.0,504808000000.0,75250000000.0,326200000000.0,356084867685.64,Denmark,356000000000.0,140,400,43094,997,0,15,44,0,2736000,717,8,3476,74558,Denmark,16000,0,45500,5894687,61500,158500,115000,439000000,0,0,0,9,0,0,15,0,74,7314
33,DOM,0,65,33,1,11,12,8,630720000.0,23094000000.0,6873000000.0,185000000000.0,78844702329.08,Dominican Republic,78844702329.0,376,350,48320,35,0,0,10,15,4732000,38,5,496,19705,Dominican Republic,60000,30000,0,10597348,90000,134000,0,0,0,0,0,0,0,0,14,0,34,1288
34,ECU,0,113,41,9,33,21,0,2272630000.0,50667000000.0,2395000000.0,185000000000.0,98808010000.0,Ecuador,98808010000.0,2237,1500,283560,698,43,15,252,200,8086000,145,5,965,43216,Ecuador,40000,500,120000,17093159,160500,265000,515000,8273000000,0,6,0,2,0,0,5,2,30,2237
35,EGY,91,1062,313,11,341,59,93,4357200000.0,109238000000.0,35890000000.0,1223040000000.0,365252651278.85,Egypt,365000000000.0,2612,3500,1001450,10000,1235,1165,4394,2200,24113000,421,11,5085,65050,Egypt,450000,300000,480000,106437241,1230000,878000,640000,4400000000,0,7,0,13,2,23,48,8,245,2450
36,ESL,0,47,29,0,2,3,13,295680000.0,17240000000.0,3567000000.0,52000000000.0,24638720000.0,El Salvador,24638720000.0,590,0,21041,125,0,0,0,70,2908000,2,2,15,9012,El Salvador,21000,15000,10000,6528135,46000,52000,0,0,0,0,0,0,0,0,3,0,4,307
37,ERI,6,33,13,0,7,5,0,105315000.0,792700000.0,225000000.0,10000000000.0,8090000000.0,Eritrea,8090000000.0,1840,0,117600,200,34,20,300,30,2710000,9,2,306,16000,Eritrea,175000,0,200000,6147398,375000,4000,0,0,0,0,0,0,0,0,18,0,20,2234
38,EST,0,6,0,0,4,2,0,713690000.0,23944000000.0,345000000.0,45000000000.0,30650285471.72,Estonia,30650285472.0,657,335,45228,180,0,18,0,66,648000,68,6,2146,58412,Estonia,6500,16000,12000,1220042,34500,28300,0,0,0,0,0,0,0,4,2,0,6,3794
39,ETH,7,90,32,0,26,9,0,538000000.0,27270000000.0,3013000000.0,264050000000.0,107645054311.88,Ethiopia,108000000000.0,5925,0,1104300,110,183,67,340,470,52820000,11,2,659,120171,Ethiopia,150000,0,0,110871031,150000,74000,0,428000,0,0,0,0,0,0,0,0,0,0
40,FIN,0,192,20,1,105,11,0,2669733900.0,631549000000.0,10510000000.0,260000000000.0,269594831987.55,Finland,270000000000.0,2563,7842,338145,2090,63,115,200,662,2520000,272,6,5926,454000,Finland,23000,14000,280000,5587442,317000,217100,0,0,0,0,0,0,0,18,8,0,246,1250
41,FRA,69,1055,435,46,165,125,0,40900000000.0,6356460000000.0,156400000000.0,2832170000000.0,2630317731455.26,France,2630000000000.0,4072,8501,643801,6558,13,109,406,105,27742000,548,17,29640,1053215,France,205000,175000,35000,68084217,415000,1705000,16000,65970000,1,0,10,11,3,17,15,10,180,4853
42,GAB,0,23,15,0,0,2,0,280620000.0,6490000000.0,981600000.0,32000000000.0,15316826191.57,Gabon,15316826192.0,3261,1600,267667,150,0,0,0,10,557800,62,5,649,14300,Gabon,6500,2000,0,2284912,8500,24000,195000,2000000000,0,0,0,0,0,0,3,0,10,885
43,GEO,9,66,38,0,12,2,10,286020000.0,18149000000.0,3039000000.0,52330000000.0,15846489610.81,Georgia,15846489611.0,1814,4349,69700,554,67,74,143,186,686000,25,2,1363,20295,Georgia,25000,5400,0,4933674,30400,27000,400,35000000,0,0,0,0,0,0,31,0,44,310
44,GER,55,617,287,41,37,43,75,50300000000.0,5671460000000.0,200100000000.0,4238800000000.0,3846413928653.71,Germany,3850000000000.0,3694,7467,357022,9217,38,121,266,0,44585000,599,13,33590,625000,Germany,184000,0,15000,79903481,199000,2460000,40000,129600000,0,5,0,12,0,12,0,6,80,2389
45,GHA,0,20,11,2,5,2,0,289400000.0,20467000000.0,7555000000.0,164840000000.0,68532281805.67,Ghana,68532281806.0,2420,1293,238533,343,6,0,0,30,12490000,51,2,947,109515,Ghana,14000,0,0,32372889,14000,90000,175000,660000000,0,0,0,0,0,0,23,0,20,539
46,GRE,29,633,270,14,144,17,0,6600000000.0,484888000000.0,7807000000.0,295000000000.0,188835201625.91,Greece,189000000000.0,1110,6,131957,6134,147,590,1243,669,4000000,1236,7,2548,117000,Greece,130000,35000,220500,10569703,385500,304100,4100,10000000,0,0,0,13,0,8,35,11,120,13676
47,GUA,0,33,17,0,4,8,4,388000000.0,22920000000.0,11770000000.0,142000000000.0,77604632170.59,Guatemala,77604632171.0,1667,990,108889,140,0,0,0,88,6664000,9,2,800,17621,Guatemala,21500,30000,65000,17422821,116500,89000,9500,83070000,0,0,0,0,0,0,20,0,25,400
48,HON,0,44,10,1,10,11,9,405110000.0,9137000000.0,4708000000.0,50000000000.0,23662231633.91,Honduras,23662231634.0,1575,465,112090,92,0,0,19,86,3735000,505,4,699,14742,Honduras,16000,23000,60000,9346277,99000,59000,0,0,0,0,0,0,0,0,60,0,55,832
49,HUN,8,55,33,0,8,2,0,3263999300.0,123256000000.0,28000000000.0,300320000000.0,155808436238.49,Hungary,156000000000.0,2106,1622,103000,510,0,0,176,12,4414000,1,5,8049,203601,Hungary,23000,12000,20000,9728337,55000,167700,16000,24000000,0,0,0,0,0,0,0,0,0,0
50,IND,37,2182,805,71,353,253,130,49600000000.0,555388000000.0,409800000000.0,8443360000000.0,2660245248867.63,India,2660000000000.0,13888,14500,3287263,12000,1338,100,4614,3311,521900000,1801,13,68525,4699024,India,1450000,2527000,1155000,1339330514,5132000,4521000,710000,4495000000,1,22,10,13,0,0,128,17,295,7000
51,INO,15,445,172,17,126,66,23,9300000000.0,393252000000.0,130200000000.0,3130470000000.0,1058423838345.14,Indonesia,1060000000000.0,2958,21579,1904569,1444,63,153,314,413,129366000,10427,16,8159,496607,Indonesia,400000,280000,400000,275122131,1080000,1601000,775000,3310000000,0,24,0,7,0,11,181,4,296,54716
52,IRN,12,543,126,9,96,85,23,5000000000.0,7995000000.0,120600000000.0,1044310000000.0,203471303952.34,Iran,203000000000.0,5894,850,1648195,7600,2485,1030,2831,2108,30500000,893,4,8484,223485,Iran,575000,90000,350000,85888910,1015000,1804000,4250000,157200000000,0,3,0,7,0,1,66,19,142,2440
53,IRQ,40,361,164,21,112,16,33,6855200000.0,73020000000.0,48880000000.0,372270000000.0,166756984395.97,Iraq,167000000000.0,3809,5279,438317,5050,232,171,826,1176,8900000,68,3,2272,59623,Iraq,200000,130000,0,39650145,330000,826000,4615000,148800000000,0,2,0,0,0,0,26,0,63,58
54,IRE,0,23,8,3,8,4,0,1100000000.0,2829300000000.0,4412000000.0,447970000000.0,425888950992.0,Ireland,426000000000.0,443,956,70273,122,0,0,0,0,2289000,96,7,4301,99830,Ireland,8700,0,4000,5224884,12700,153700,0,0,0,0,0,0,0,0,5,0,9,1448
55,ISR,48,597,127,23,153,15,27,17800000000.0,132500000000.0,113000000000.0,355000000000.0,407100736594.06,Israel,407000000000.0,1068,0,20770,8044,48,650,1900,300,3893000,41,5,1384,19555,Israel,173000,8000,465000,8787045,646000,242200,400,12730000,0,7,0,0,0,0,45,5,67,273
56,ITA,59,862,396,27,188,39,95,29198401050.0,2463210000000.0,151200000000.0,2322140000000.0,1888709443687.48,Italy,1890000000000.0,1836,2400,301340,6908,21,54,200,108,22920000,1296,14,20182,487700,Italy,170000,107000,20000,62390364,297000,1236000,90000,487800000,2,0,4,13,0,10,21,8,184,7600
57,IVC,1,5,1,0,0,4,0,651000000.0,13070000000.0,6257000000.0,135000000000.0,75075000000.0,Ivory Coast,75075000000.0,3458,980,322463,85,6,0,10,4,8747000,25,3,660,81996,Ivory Coast,25000,7000,0,28088455,32000,51000,55000,100000000,0,0,0,0,0,0,6,0,10,515
58,JPN,119,1449,554,164,425,59,23,47482740000.0,4254270000000.0,1264000000000.0,5225850000000.0,5057758958706.64,Japan,5060000000000.0,0,1770,377915,5500,99,214,1004,480,66540000,5201,44,27311,1218772,Japan,240000,14000,55000,124687293,309000,3894000,3200,44120000,0,6,36,4,4,22,6,21,155,29751
59,JOR,44,255,133,5,56,13,4,2053900000.0,32088000000.0,15560000000.0,100160000000.0,43697659295.77,Jordan,43697659296.0,1744,540,89342,3693,88,461,1401,84,731000,35,1,509,7203,Jordan,90000,15000,65000,10909567,170000,139000,25,1000000,0,0,0,0,0,0,27,0,27,26
60,KAZ,25,237,75,0,25,17,39,3900000000.0,159351000000.0,30750000000.0,475180000000.0,171082379532.99,Kazakhstan,171000000000.0,13364,0,2724900,1215,407,246,310,450,8685000,119,5,1614,95409,Kazakhstan,45000,32000,0,19245793,77000,274000,1855000,30000000000,0,0,0,0,0,2,15,0,15,26
61,KEN,2,151,87,2,23,22,0,1186080000.0,29289000000.0,7354000000.0,225940000000.0,101013726529.06,Kenya,101000000000.0,3457,0,580367,959,5,30,109,50,19600000,26,2,3819,177800,Kenya,24000,5000,0,54685051,29000,109000,0,0,0,0,0,0,0,0,7,0,23,536
62,KOS,0,0,0,0,0,0,0,112479000.0,2388000000.0,695000000.0,20000000000.0,7716925356.13,Kosovo,7716925356.0,714,0,10887,152,0,0,0,0,500000,0,0,333,2012,Kosovo,3500,0,3000,1935259,6500,14000,0,0,0,0,0,0,0,0,0,0,0,0
63,KUW,16,99,54,0,13,2,0,8172000000.0,47240000000.0,33700000000.0,210000000000.0,105960225688.15,Kuwait,106000000000.0,475,0,17818,909,27,74,367,0,2695000,165,5,0,5749,Kuwait,17000,7000,24000,3032065,48000,446000,2805000,101500000000,0,0,0,0,0,0,106,0,123,499
64,KYR,2,6,6,0,0,0,0,116040000.0,8372000000.0,2177000000.0,30000000000.0,7735976272.76,Kyrgyzstan,7735976273.0,4573,600,199951,685,21,30,215,276,2841000,0,2,424,34000,Kyrgyzstan,12000,10000,0,6018789,22000,37000,1000,40000000,0,0,0,0,0,0,0,0,0,0
65,LAO,0,32,27,0,4,1,0,38280000.0,14900000000.0,1270000000.0,55000000000.0,19132635711.7,Laos,19132635712.0,5274,4600,236800,200,64,34,130,87,3582000,1,0,0,39568,Laos,25000,50000,0,7574356,75000,18000,0,0,0,0,0,0,0,0,35,0,39,0
66,LAT,0,4,4,0,0,0,0,853758013.0,40164000000.0,4614000000.0,55755000000.0,33707320816.3,Latvia,33707320816.0,1370,300,64589,297,0,63,0,0,885000,70,2,1860,70244,Latvia,6500,8200,15000,1862687,29700,44600,0,0,0,0,0,0,0,6,11,0,18,498
67,LEB,0,76,58,0,9,0,9,1001400000.0,33077000000.0,55420000000.0,80000000000.0,31735217784.54,Lebanon,31735217785.0,484,170,10400,1959,30,84,361,374,2166000,48,2,401,21705,Lebanon,80000,20000,0,5261372,100000,154000,0,0,0,0,0,0,0,0,22,0,86,225
